year,id,name,surface,held
2014,D091,Fed Cup G3 PO: GRE vs IRL                                                                           ,Hard,2014-02-08
2014,D065,Fed Cup G3 RR: EST vs NAM                                                                           ,Hard,2014-02-05
2013,D100,Fed Cup G1 PO: HUN vs NED                                                                           ,Hard,2013-02-10
2010,D061,Fed Cup G1 RRB: CRO vs ROU                                                                          ,Hard,2010-02-04
2011,W-SL-GBR-01A-2011,Wimbledon                                                                                           ,Grass,2011-06-20
2019,1005,Rabat                                                                                               ,Clay,2019-04-29
2013,D058,Fed Cup G1 RRD: SLO vs NED                                                                          ,Hard,2013-02-08
2016,0602,New Haven                                                                                           ,Hard,2016-08-22
2012,D078,Fed Cup G2 RRB: PHI vs OMA                                                                          ,Hard,2012-02-01
2016,W-FC-2016-G1-EPA-B-M-GBR-GEO-01,Fed Cup G1 RR: GBR vs GEO                                                                           ,Hard,2016-02-05
2019,W-FC-2019-G2-AM-A-PP3-4-BOL-TTO-01,Fed Cup G2 PM: BOL vs TTO                                                                           ,Clay,2019-04-20
2014,W-INT-KOR-01A-2014,Seoul                                                                                               ,Hard,2014-09-15
2012,D137,Fed Cup G2 RRB: CHI vs PUR                                                                          ,Clay,2012-04-18
2014,W-INT-MEX-02A-2014,Monterrey                                                                                           ,Hard,2014-03-31
2012,D059,Fed Cup G1 RRA: UZB vs TPE                                                                          ,Hard,2012-02-01
2012,D074,Fed Cup G2 RRA: KGZ vs SRI                                                                          ,Hard,2012-02-02
2016,1086,St. Petersburg                                                                                      ,Hard,2016-02-08
2013,D040,Fed Cup G1 RRA: BLR vs AUT                                                                          ,Hard,2013-02-07
2010,D047,Fed Cup G1 RRB: PAR vs COL                                                                          ,Clay,2010-02-05
2016,W-FC-2016-G2-AO-A-M-HKG-POC-01,Fed Cup G2 RR: HKG vs POC                                                                           ,Hard,2016-04-11
2012,D041,Fed Cup G1 RRA: CAN vs ARG                                                                          ,Clay,2012-02-02
2017,W-FC-2017-G2-AO-B-M-HKG-POC-01,Fed Cup G2 RR: HKG vs POC                                                                           ,Hard,2017-07-20
2010,D011,Fed Cup WG F: USA vs ITA                                                                            ,Hard,2010-11-06
2018,0405,Hiroshima                                                                                           ,Hard,2018-09-10
2017,W-FC-2017-G2-AO-PP5-8-POC-SGP-01,Fed Cup G2 PM: POC vs SGP                                                                           ,Hard,2017-07-21
2018,W-FC-2018-WG2-PO-ESP-PAR-01,Fed Cup WG2 R1: ESP vs PAR                                                                          ,Clay,2018-04-21
2011,W-INT-DEN-01A-2011,Copenhagen                                                                                          ,Hard,2011-06-06
2012,W-PR-JPN-01A-2012,Tokyo                                                                                               ,Hard,2012-09-24
2010,D013,Fed Cup WG PO: UKR vs AUS                                                                           ,Clay,2010-04-24
2010,D009,Fed Cup WG SF: ITA vs CZE                                                                           ,Clay,2010-04-24
2011,W-PR-ITA-01A-2011,Rome                                                                                                ,Clay,2011-05-09
2011,W-INT-UZB-01A-2011,Tashkent                                                                                            ,Hard,2011-09-12
2013,D082,Fed Cup G2 RRB: INA vs IRI                                                                          ,Hard,2013-02-08
2014,D109,Fed Cup WG PO: SWE vs THA                                                                           ,Hard,2014-04-19
2017,W-FC-2017-G1-AM-B-M-MEX-CHI-01,Fed Cup G1 RR: MEX vs CHI                                                                           ,Hard,2017-02-10
2018,1003,Doha                                                                                                ,Hard,2018-02-12
2015,W-INT-COL-01A-2015,Bogota                                                                                              ,Clay,2015-04-13
2011,D112,Fed Cup G2 RRA: FIN vs MAR                                                                          ,Clay,2011-05-04
2015,W-P5-ITA-01A-2015,Rome                                                                                                ,Clay,2015-05-11
2019,0806,Toronto                                                                                             ,Hard,2019-08-05
