year,id,name,surface,held
2018,W-FC-2018-G2-AO-A-M-UZB-LBN-01,Fed Cup G2 RR: UZB vs LBN                                                                           ,Hard,2018-02-06
2019,W-FC-2019-WG-PO-USA-SUI-01,Fed Cup WG R1: USA vs SUI                                                                           ,Hard,2019-04-20
2013,D078,Fed Cup G2 RRB: PHI vs IRI                                                                          ,Hard,2013-02-05
2013,W-INT-GBR-01A-2013,Birmingham                                                                                          ,Grass,2013-06-10
2011,W-PM-USA-01A-2011,Indian Wells                                                                                        ,Hard,2011-03-07
2015,W-INT-NZL-01A-2015,Auckland                                                                                            ,Hard,2015-01-05
2018,W-FC-2018-G2-AM-B-PP5-6-HON-TTO-01,Fed Cup G2 PM: HON vs TTO                                                                           ,Clay,2018-07-21
2015,D022,Fed Cup G1 PO: TUR vs GEO                                                                           ,Hard,2015-02-07
2017,1068,Nurnberg                                                                                            ,Clay,2017-05-22
2013,D120,Fed Cup G2 PO: LAT vs MNE                                                                           ,Clay,2013-04-20
2014,D049,Fed Cup G2 RR: HKG vs MAS                                                                           ,Hard,2014-02-06
2014,D097,Fed Cup G1 PO: BEL vs POR                                                                           ,Hard,2014-02-09
2012,W-INT-USA-03A-2012,Dallas                                                                                              ,Hard,2012-08-20
2010,D092,Fed Cup G1 PO: CAN vs COL                                                                           ,Clay,2010-02-06
2011,W-INT-CHN-01A-2011,Guangzhou                                                                                           ,Hard,2011-09-19
2016,W-FC-2016-G2-AM-B-M-DOM-PUR-01,Fed Cup G2 RR: DOM vs PUR                                                                           ,Hard,2016-02-05
2015,W-INT-TUR-01A-2015,Istanbul                                                                                            ,Hard,2015-07-20
2010,D040,Fed Cup G2 RRB: SYR vs KGZ                                                                          ,Hard,2010-02-04
2017,W-FC-2017-G2-EPA-A-M-RSA-NOR-01,Fed Cup G2 RR: RSA vs NOR                                                                           ,Hard,2017-04-21
2015,W-INT-CHN-03A-2015,Tianjin                                                                                             ,Hard,2015-10-12
2013,D023,Fed Cup G1 RRA: CAN vs VEN                                                                          ,Clay,2013-02-07
2018,W-FC-2018-G1-EPA-A-M-GEO-BUL-01,Fed Cup G1 RR: GEO vs BUL                                                                           ,Hard,2018-02-08
2010,D118,Fed Cup G3 RRA: EGY vs MDA                                                                          ,Clay,2010-04-23
2019,W-FC-2019-G2-EPA-B-M-ISR-RSA-01,Fed Cup G2 RR: ISR vs RSA                                                                           ,Hard,2019-02-07
2010,D033,Fed Cup G2 RRA: MAS vs IND                                                                          ,Hard,2010-02-05
2016,0405,Japan Open Tokyo                                                                                    ,Hard,2016-09-12
2018,W-FC-2018-G2-EPA-B-M-NOR-BIH-01,Fed Cup G2 RR: NOR vs BIH                                                                           ,Clay,2018-04-20
2016,1090,Bol                                                                                                 ,Clay,2016-05-30
2015,D027,Fed Cup G1 PO: BRA vs PAR                                                                           ,Hard,2015-02-07
2013,D079,Fed Cup G2 RRB: INA vs KGZ                                                                          ,Hard,2013-02-06
2014,D081,Fed Cup G2 PO: SRI vs IRQ                                                                           ,Hard,2014-02-07
2018,M035,Washington                                                                                          ,Hard,2018-07-30
2014,D060,Fed Cup G2 RR: IND vs PAK                                                                           ,Hard,2014-02-05
2014,D015,Fed Cup G1 RR: BRA vs ECU                                                                           ,Clay,2014-02-05
2013,W-PR-USA-04A-2013,Carlsbad                                                                                            ,Hard,2013-07-29
2011,D087,Fed Cup G1 PO: PER vs BRA                                                                           ,Clay,2011-02-05
2011,D113,Fed Cup G2 RRA: FIN vs POR                                                                          ,Clay,2011-05-06
2019,W-FC-2019-G1-AM-A-M-PAR-MEX-01,Fed Cup G1 RR: PAR vs MEX                                                                           ,Clay,2019-02-08
2017,0808,Singapore                                                                                           ,Hard,2017-10-23
2011,D076,Fed Cup G1 RRB: CHI vs MEX                                                                          ,Clay,2011-02-04
2015,D013,Fed Cup G1 PO: HKG vs TPE                                                                           ,Hard,2015-02-07
2018,W-FC-2018-G1-AO-B-M-TPE-JPN-01,Fed Cup G1 RR: TPE vs JPN                                                                           ,Hard,2018-02-09
2015,W-INT-CAN-01A-2015,Quebec City                                                                                         ,Hard,2015-09-14
2014,D134,Fed Cup G2 RR: LTU vs LIE                                                                           ,Hard,2014-04-17
2014,W-INT-MEX-01A-2014,Acapulco                                                                                            ,Hard,2014-02-24
2012,D028,Fed Cup G1 RRB: GRE vs BIH                                                                          ,Hard,2012-02-02
2015,W-INT-AUT-01A-2015,Bad Gastein                                                                                         ,Clay,2015-07-20
2013,D063,Fed Cup G1 RRD: BUL vs LUX                                                                          ,Hard,2013-02-08
2018,W-FC-2018-G2-EPA-B-M-BIH-ISR-01,Fed Cup G2 RR: BIH vs ISR                                                                           ,Clay,2018-04-19
2011,D064,Fed Cup G2 RRB: TKM vs OMA                                                                          ,Hard,2011-01-31
2016,W-FC-2016-G1-EPA-A-M-UKR-POR-01,Fed Cup G1 RR: UKR vs POR                                                                           ,Hard,2016-02-03
2014,D084,Fed Cup G1 PO: INA vs TPE                                                                           ,Hard,2014-02-08
2014,D030,Fed Cup G1 RR: NED vs LUX                                                                           ,Hard,2014-02-07
2019,W-FC-2019-G1-AM-B-M-ARG-BRA-01,Fed Cup G1 RR: ARG vs BRA                                                                           ,Clay,2019-02-08
2014,D074,Fed Cup G3 RR: IRL vs ISL                                                                           ,Hard,2014-02-05
2018,W-FC-2018-WG-PO-BEL-ITA-01,Fed Cup WG R1: BEL vs ITA                                                                           ,Clay,2018-04-21
2019,2008,Zhengzhou                                                                                           ,Hard,2019-09-09
2016,W-FC-2016-G2-AO-A-M-POC-IRI-01,Fed Cup G2 RR: POC vs IRI                                                                           ,Hard,2016-04-12
2014,W-INT-TUR-01A-2014,Istanbul                                                                                            ,Hard,2014-07-14
2017,M014,Moscow                                                                                              ,Hard,2017-10-16
2017,1003,Doha                                                                                                ,Hard,2017-02-13
2018,W-FC-2018-G2-EPA-B-M-NOR-ISR-01,Fed Cup G2 RR: NOR vs ISR                                                                           ,Clay,2018-04-18
2012,D163,Fed Cup G3 PO: IRL vs TUN                                                                           ,Clay,2012-04-21
2012,D038,Fed Cup G1 RRD: ROU vs CRO                                                                          ,Hard,2012-02-01
2017,M016,Eastbourne                                                                                          ,Grass,2017-06-26
2012,D005,Fed Cup WG SF: RUS vs SRB                                                                           ,Clay,2012-04-21
2016,W-FC-2016-G1-EPA-D-M-HUN-BEL-01,Fed Cup G1 RR: HUN vs BEL                                                                           ,Hard,2016-02-04
2015,D003,Fed Cup WG R1: ITA vs FRA                                                                           ,Clay,2015-02-07
2016,W-FC-2016-G1-EPA-A-M-SWE-POR-01,Fed Cup G1 RR: SWE vs POR                                                                           ,Hard,2016-02-04
2015,W-P5-CAN-01A-2015,Toronto                                                                                             ,Hard,2015-08-10
2010,D030,Fed Cup G1 RRB: TPE vs KAZ                                                                          ,Hard,2010-02-03
2018,W-FC-2018-G1-AM-REL-CHI-VEN-01,Fed Cup G1 REL: CHI vs VEN                                                                          ,Clay,2018-02-10
2016,M014,Moscow                                                                                              ,Hard,2016-10-17
2018,W-FC-2018-WG-M-BLR-GER-01,Fed Cup WG R1: BLR vs GER                                                                           ,Hard,2018-02-10
2010,D145,Fed Cup G2 RRB: ARM vs FIN                                                                          ,Clay,2010-04-30
2012,W-INT-AUS-01A-2012,Hobart                                                                                              ,Hard,2012-01-09
2010,D095,Fed Cup G1 PO: PUR vs BOL                                                                           ,Clay,2010-02-06
2017,W-FC-2017-G2-EPA-B-M-LTU-LUX-01,Fed Cup G2 RR: LTU vs LUX                                                                           ,Hard,2017-04-21
2019,W-FC-2019-G1-EPA-B-A-M-HUN-GRE-01,Fed Cup G1 RR: HUN vs GRE                                                                           ,Hard,2019-02-06
2016,W-FC-2016-G2-AO-PP3-4-HKG-MAS-01,Fed Cup G2 PM: HKG vs MAS                                                                           ,Hard,2016-04-16
2018,W-FC-2018-G1-EPA-PP5-8-BUL-POL-01,Fed Cup G1 PM: BUL vs POL                                                                           ,Hard,2018-02-10
2017,0703,Stanford                                                                                            ,Hard,2017-07-31
2011,D030,Fed Cup G1 RRC: BLR vs CRO                                                                          ,Hard,2011-02-03
2018,W-FC-2018-G1-AO-B-M-JPN-KOR-01,Fed Cup G1 RR: JPN vs KOR                                                                           ,Hard,2018-02-08
2017,W-FC-2017-G2-EPA-PPO-SLO-LUX-01,Fed Cup G2 PPO: SLO vs LUX                                                                          ,Hard,2017-04-22
2013,D035,Fed Cup G1 RRB: CHN vs UZB                                                                          ,Hard,2013-02-07
2014,D039,Fed Cup G1 RR: UKR vs ISR                                                                           ,Hard,2014-02-05
2015,W-PM-CHN-01A-2015,Beijing                                                                                             ,Hard,2015-10-05
2012,D149,Fed Cup G2 RRA: RSA vs DEN                                                                          ,Clay,2012-04-18
2018,1097,Budapest                                                                                            ,Hard,2018-02-19
2014,W-INT-AZE-01A-2014,Baku                                                                                                ,Hard,2014-07-21
2018,0406,Strasbourg                                                                                          ,Clay,2018-05-21
2012,D053,Fed Cup G1 RRB: PAR vs BOL                                                                          ,Clay,2012-01-30
2015,D010,Fed Cup WG R1: SWE vs SUI                                                                           ,Hard,2015-02-07
2010,D059,Fed Cup G1 RRB: POR vs CRO                                                                          ,Hard,2010-02-03
2019,1094,Lausanne                                                                                            ,Clay,2019-07-15
2016,W-FC-2016-G2-AO-B-M-PAK-KGZ-01,Fed Cup G2 RR: PAK vs KGZ                                                                           ,Hard,2016-04-13
2012,W-PR-USA-04A-2012,Cincinnati                                                                                          ,Hard,2012-08-13
2019,W-FC-2019-WG-PO-BEL-ESP-01,Fed Cup WG R1: BEL vs ESP                                                                           ,Hard,2019-04-20
2016,0804,Charleston                                                                                          ,Clay,2016-04-04
2013,W-INT-AUT-02A-2013,Linz                                                                                                ,Hard,2013-10-07
2019,M007,Miami                                                                                               ,Hard,2019-03-18
2016,W-FC-2016-G2-AO-A-M-POC-BRN-01,Fed Cup G2 RR: POC vs BRN                                                                           ,Hard,2016-04-14
2016,M020,Brisbane                                                                                            ,Hard,2016-01-04
2010,D073,Fed Cup G1 RRD: BLR vs BIH                                                                          ,Hard,2010-02-04
2015,D050,Fed Cup G2 PO: IND vs TKM                                                                           ,Hard,2015-04-17
2012,W-PM-ESP-01A-2012,Madrid                                                                                              ,Clay,2012-05-07
2015,D029,Fed Cup G1 PO: CHI vs BOL                                                                           ,Hard,2015-02-07
2017,1076,Tianjin                                                                                             ,Hard,2017-10-09
2012,W-INT-JPN-01A-2012,Osaka                                                                                               ,Hard,2012-10-08
2012,D148,Fed Cup G2 RRA: FIN vs MNE                                                                          ,Clay,2012-04-18
2011,D094,Fed Cup G1 PO: BLR vs POL                                                                           ,Hard,2011-02-05
2012,D009,Fed Cup WG PO: JPN vs BEL                                                                           ,Hard,2012-04-21
2017,W-FC-2017-G2-EPA-B-M-DEN-EGY-01,Fed Cup G2 RR: DEN vs EGY                                                                           ,Hard,2017-04-21
2019,1080,Nottingham                                                                                          ,Grass,2019-06-10
2016,W-FC-2016-G1-AM-B-M-ARG-ECU-01,Fed Cup G1 RR: ARG vs ECU                                                                           ,Clay,2016-02-03
2017,W-FC-2017-G1-EPA-B-M-CRO-BIH-01,Fed Cup G1 RR: CRO vs BIH                                                                           ,Hard,2017-02-10
2016,1063,Shenzhen                                                                                            ,Hard,2016-01-04
2018,W-FC-2018-G1-AM-B-M-VEN-GUA-01,Fed Cup G1 RR: VEN vs GUA                                                                           ,Clay,2018-02-09
2018,W-FC-2018-WG-M-GER-CZE-01,Fed Cup WG SF: GER vs CZE                                                                           ,Clay,2018-04-21
2017,W-FC-2017-G1-AO-B-M-CHN-JPN-01,Fed Cup G1 RR: CHN vs JPN                                                                           ,Hard,2017-02-10
2017,1024,Seoul                                                                                               ,Hard,2017-09-18
2016,W-FC-2016-G1-AO-A-M-UZB-IND-01,Fed Cup G1 RR: UZB vs IND                                                                           ,Hard,2016-02-05
2016,M015,Beijing                                                                                             ,Hard,2016-10-03
2011,D100,Fed Cup G3 RRA: ALG vs MNE                                                                          ,Clay,2011-05-05
2010,D003,Fed Cup WG R1: SRB vs RUS                                                                           ,Hard,2010-02-06
2016,W-FC-2016-G2-EPA-PPO-LTU-AUT-01,Fed Cup G2 PPO: LTU vs AUT                                                                          ,Clay,2016-04-16
2010,D133,Fed Cup G2 PO: ARM vs RSA                                                                           ,Clay,2010-05-01
2014,D112,Fed Cup G2 RR: GUA vs PAN                                                                           ,Hard,2014-04-10
2011,D079,Fed Cup G1 PO: CHN vs KOR                                                                           ,Hard,2011-01-31
2016,1080,Nottingham                                                                                          ,Grass,2016-06-06
2018,1094,Gstaad                                                                                              ,Clay,2018-07-16
2018,1082,Prague                                                                                              ,Clay,2018-04-30
2018,W-FC-2018-G1-EPA-C-M-SLO-SWE-01,Fed Cup G1 RR: SLO vs SWE                                                                           ,Hard,2018-02-09
2011,D147,Fed Cup G2 RRB: VEN vs PAN                                                                          ,Hard,2011-05-19
2017,0300,Luxembourg                                                                                          ,Hard,2017-10-16
2011,W-INT-MAS-01A-2011,Kuala Lumpur                                                                                        ,Hard,2011-02-28
2012,W-INT-MEX-02A-2012,Acapulco                                                                                            ,Clay,2012-02-27
2016,W-FC-2016-G1-AM-B-M-ECU-PER-01,Fed Cup G1 RR: ECU vs PER                                                                           ,Clay,2016-02-05
2011,W-INT-NZL-01A-2011,Auckland                                                                                            ,Hard,2011-01-03
2011,D024,Fed Cup G1 RRB: POL vs BUL                                                                          ,Hard,2011-02-02
2014,D013,Fed Cup G1 RR: COL vs ECU                                                                           ,Clay,2014-02-06
2011,D082,Fed Cup G2 PO: PAK vs TKM                                                                           ,Hard,2011-01-31
2017,W-FC-2017-G1-AO-A-M-THA-KAZ-01,Fed Cup G1 RR: THA vs KAZ                                                                           ,Hard,2017-02-10
2012,D132,Fed Cup G2 RRA: GUA vs DOM                                                                          ,Clay,2012-04-17
2013,D080,Fed Cup G2 RRB: INA vs PAK                                                                          ,Hard,2013-02-05
2012,W-PR-BEL-01A-2012,Brussels                                                                                            ,Clay,2012-05-21
2014,D120,Fed Cup G2 RR: URU vs TRI                                                                           ,Hard,2014-04-10
2012,W-PR-ITA-01A-2012,Rome                                                                                                ,Clay,2012-05-14
2010,D103,Fed Cup G2 RRA: ECU vs TRI                                                                          ,Clay,2010-04-23
2013,D072,Fed Cup G2 RRA: TKM vs VIE                                                                          ,Hard,2013-02-08
2015,D049,Fed Cup G2 PO: PHI vs INA                                                                           ,Hard,2015-04-17
2015,W-INT-ROU-01A-2015,Bucharest                                                                                           ,Clay,2015-07-13
2015,D043,Fed Cup G3 PO: ARM vs NOR                                                                           ,Clay,2015-04-17
2011,D001,Fed Cup WG R1: AUS vs ITA                                                                           ,Hard,2011-02-05
2018,1039,Monterrey                                                                                           ,Hard,2018-04-02
2016,W-FC-2016-G1-AM-A-M-MEX-BOL-01,Fed Cup G1 RR: MEX vs BOL                                                                           ,Clay,2016-02-05
2010,W-WT-QAT-01A-2010,WTA Championships                                                                                   ,Hard,2010-10-25
2016,W-FC-2016-G1-EPA-C-M-EST-ISR-01,Fed Cup G1 RR: EST vs ISR                                                                           ,Hard,2016-02-04
2018,M010,s-Hertogenbosch                                                                                     ,Grass,2018-06-11
2011,D074,Fed Cup G1 RRB: BRA vs CHI                                                                          ,Clay,2011-02-02
2012,D117,Fed Cup G3 RRB: EGY vs MDA                                                                          ,Clay,2012-04-20
2010,D140,Fed Cup G2 RRA: GRE vs LUX                                                                          ,Clay,2010-04-30
2010,W-SL-USA-01A-2010,US Open                                                                                             ,Hard,2010-08-30
2018,W-FC-2018-G1-AM-B-M-ARG-BRA-01,Fed Cup G1 RR: ARG vs BRA                                                                           ,Clay,2018-02-09
2012,D023,Fed Cup G1 RRB: SWE vs HUN                                                                          ,Hard,2012-02-02
2013,D012,Fed Cup WG2 R1: ARG vs SWE                                                                          ,Clay,2013-02-09
2012,W-INT-AUT-01A-2012,Bad Gastein                                                                                         ,Clay,2012-06-11
2011,W-PM-CHN-01A-2011,Beijing                                                                                             ,Hard,2011-10-03
2012,D087,Fed Cup G1 PO: TPE vs THA                                                                           ,Hard,2012-02-04
2014,W-PM-ESP-01A-2014,Madrid                                                                                              ,Clay,2014-05-05
2017,W-FC-2017-WG-M-CZE-USA-01,Fed Cup WG SF: CZE vs USA                                                                           ,Clay,2017-04-22
2014,D034,Fed Cup G1 RR: HUN vs ROU                                                                           ,Hard,2014-02-05
2015,D032,Fed Cup WG PO: POL vs SUI                                                                           ,Hard,2015-04-18
2014,D067,Fed Cup G3 RR: GRE vs MDA                                                                           ,Hard,2014-02-07
2018,W-FC-2018-WG-M-NED-USA-01,Fed Cup WG R1: NED vs USA                                                                           ,Hard,2018-02-10
2019,M010,S-Hertogenbosch                                                                                     ,Grass,2019-06-10
2011,W-INT-THA-01A-2011,Pattaya                                                                                             ,Hard,2011-02-07
2018,0602,New Haven                                                                                           ,Hard,2018-08-20
2010,D083,Fed Cup G2 PO: SIN vs PHI                                                                           ,Hard,2010-02-06
2018,1101,Lugano                                                                                              ,Clay,2018-04-09
2010,D124,Fed Cup G3 RRB: MLT vs ALG                                                                          ,Clay,2010-04-22
2012,D160,Fed Cup G2 PO: RSA vs TUR                                                                           ,Clay,2012-04-21
2010,D055,Fed Cup G1 RRA: ISR vs BUL                                                                          ,Hard,2010-02-04
2014,W-INT-BRA-01A-2014,Rio de Janeiro                                                                                      ,Clay,2014-02-17
2015,W-PM-USA-02A-2015,Miami                                                                                               ,Hard,2015-03-23
2010,D080,Fed Cup G1 PO: INA vs UZB                                                                           ,Hard,2010-02-06
2017,0806,Toronto                                                                                             ,Hard,2017-08-07
2010,D130,Fed Cup G2 PO: GRE vs GEO                                                                           ,Clay,2010-05-01
2012,D145,Fed Cup G2 RRB: URU vs CRC                                                                          ,Clay,2012-04-18
2019,W-FC-2019-G1-EPA-B-B-M-SRB-CRO-01,Fed Cup G1 RR: SRB vs CRO                                                                           ,Hard,2019-02-08
2014,W-PR-GER-01A-2014,Stuttgart                                                                                           ,Clay,2014-04-21
2011,D120,Fed Cup G2 RRB: BIH vs TUR                                                                          ,Clay,2011-05-04
2017,W-FC-2017-G1-EPA-C-M-GBR-LAT-01,Fed Cup G1 RR: GBR vs LAT                                                                           ,Hard,2017-02-10
2016,0300,Luxembourg                                                                                          ,Hard,2016-10-17
2019,1076,Tianjin                                                                                             ,Hard,2019-10-07
2012,W-PR-USA-03A-2012,San Diego                                                                                           ,Hard,2012-07-16
2016,W-FC-2016-WG-PO-ITA-ESP-01,Fed Cup WG R1: ITA vs ESP                                                                           ,Clay,2016-04-16
2010,W-INT-MAS-01A-2010,Kuala Lumpur                                                                                        ,Hard,2010-02-22
2011,D077,Fed Cup G1 PO: IND vs TPE                                                                           ,Hard,2011-01-31
2018,M015,Beijing                                                                                             ,Hard,2018-10-01
2018,W-FC-2018-WG2-M-CAN-ROU-01,Fed Cup WG2 R1: CAN vs ROU                                                                          ,Hard,2018-02-10
2010,D139,Fed Cup G2 RRA: RSA vs LIE                                                                          ,Clay,2010-04-30
2013,W-INT-MAS-01A-2013,Kuala Lumpur                                                                                        ,Hard,2013-02-25
2019,W-FC-2019-G1-EPA-A-A-M-RUS-DEN-01,Fed Cup G1 RR: RUS vs DEN                                                                           ,Hard,2019-02-07
2015,W-INT-SWE-01A-2015,Bastad                                                                                              ,Clay,2015-07-13
2018,0808,Singapore                                                                                           ,Hard,2018-10-22
2017,W-FC-2017-G1-AO-B-M-CHN-IND-01,Fed Cup G1 RR: CHN vs IND                                                                           ,Hard,2017-02-10
2011,D143,Fed Cup G2 RRB: ECU vs VEN                                                                          ,Hard,2011-05-17
2019,0825,Tashkent                                                                                            ,Hard,2019-09-23
2014,W-INT-LUX-01A-2014,Luxembourg                                                                                          ,Hard,2014-10-13
2016,W-FC-2016-G2-AM-PPO-VEN-GUA-01,Fed Cup G2 PPO: VEN vs GUA                                                                          ,Hard,2016-02-06
2014,D048,Fed Cup G1 RR: POR vs TUR                                                                           ,Hard,2014-02-07
2015,D020,Fed Cup G1 PO: BLR vs GBR                                                                           ,Hard,2015-02-07
2013,D085,Fed Cup G2 RRB: KGZ vs IRI                                                                          ,Hard,2013-02-07
2019,W-FC-2019-G1-EPA-B-B-M-TUR-GEO-01,Fed Cup G1 RR: TUR vs GEO                                                                           ,Hard,2019-02-08
2013,D109,Fed Cup G2 RRA: FIN vs TUN                                                                          ,Clay,2013-04-18
2019,W-FC-2019-G1-AM-B-M-BRA-PUR-01,Fed Cup G1 RR: BRA vs PUR                                                                           ,Clay,2019-02-07
2012,D020,Fed Cup G1 RRA: EST vs AUT                                                                          ,Hard,2012-02-02
2012,D112,Fed Cup G3 RRA: IRL vs MLT                                                                          ,Clay,2012-04-16
2011,D004,Fed Cup WG R1: BEL vs USA                                                                           ,Hard,2011-02-05
2019,W-FC-2019-G1-EPA-A-PPO-RUS-SWE-01,Fed Cup G1 PPO: RUS vs SWE                                                                          ,Hard,2019-02-09
2016,W-FC-2016-G2-AM-A-M-VEN-HON-01,Fed Cup G2 RR: VEN vs HON                                                                           ,Hard,2016-02-05
2010,D129,Fed Cup G3 PO: MDA vs IRL                                                                           ,Clay,2010-04-24
2014,D088,Fed Cup G3 PO: MDA vs MLT                                                                           ,Hard,2014-02-08
2010,D021,Fed Cup G1 RRA: JPN vs INA                                                                          ,Hard,2010-02-03
2017,0656,Quebec City                                                                                         ,Hard,2017-09-11
2012,D026,Fed Cup G1 RRB: HUN vs GRE                                                                          ,Hard,2012-02-01
2016,W-FC-2016-WG2-PO-ARG-UKR-01,Fed Cup WG2 R1: ARG vs UKR                                                                          ,Hard,2016-04-16
2012,D089,Fed Cup G2 PO: HKG vs IND                                                                           ,Hard,2012-02-04
2011,W-INT-AUS-02A-2011,Hobart                                                                                              ,Hard,2011-01-10
2012,D002,Fed Cup WG R1: BEL vs SRB                                                                           ,Hard,2012-02-04
2010,D134,Fed Cup G2 PO: GUA vs CRC                                                                           ,Clay,2010-04-24
2014,D064,Fed Cup G3 RR: EST vs ARM                                                                           ,Hard,2014-02-07
2011,D038,Fed Cup G1 RRD: HUN vs ROU                                                                          ,Hard,2011-02-04
2013,D092,Fed Cup G2 PO: KGZ vs TKM                                                                           ,Hard,2013-02-09
2010,W-PR-RUS-01A-2010,Moscow                                                                                              ,Hard,2010-10-18
2013,D067,Fed Cup G2 RRA: HKG vs VIE                                                                          ,Hard,2013-02-07
2016,M001,Sydney                                                                                              ,Hard,2016-01-11
2010,D094,Fed Cup G1 PO: CUB vs CHI                                                                           ,Clay,2010-02-06
2013,D052,Fed Cup G1 RRC: POL vs ROU                                                                          ,Hard,2013-02-06
2019,W-FC-2019-G2-AM-A-B-M-TTO-BAR-01,Fed Cup G2 RR: TTO vs BAR                                                                           ,Clay,2019-04-18
2010,W-INT-JPN-01A-2010,Osaka                                                                                               ,Hard,2010-10-11
2017,W-FC-2017-G1-EPA-C-M-GBR-POR-01,Fed Cup G1 RR: GBR vs POR                                                                           ,Hard,2017-02-10
2015,W-INT-UZB-01A-2015,Tashkent                                                                                            ,Hard,2015-09-28
2012,D128,Fed Cup G3 RRB: MDA vs NAM                                                                          ,Clay,2012-04-19
2013,D086,Fed Cup G2 RRB: PAK vs MAS                                                                          ,Hard,2013-02-08
2019,W-FC-2019-WG2-M-CAN-NED-01,Fed Cup WG2 R1: CAN vs NED                                                                          ,Clay,2019-02-09
2019,W-FC-2019-G1-AM-A-M-MEX-COL-01,Fed Cup G1 RR: MEX vs COL                                                                           ,Clay,2019-02-06
2016,0406,Strasbourg                                                                                          ,Clay,2016-05-16
2014,D007,Fed Cup WG F: CZE vs GER                                                                            ,Hard,2014-11-08
2013,D066,Fed Cup G2 RRA: HKG vs SIN                                                                          ,Hard,2013-02-05
2012,W-SL-USA-01A-2012,US Open                                                                                             ,Hard,2012-08-27
2010,D148,Fed Cup G2 RRB: NOR vs FIN                                                                          ,Clay,2010-04-30
2011,D129,Fed Cup G2 RRA: PUR vs TRI                                                                          ,Hard,2011-05-19
2010,D110,Fed Cup G2 RRB: MEX vs PER                                                                          ,Clay,2010-04-23
2016,540,Wimbledon                                                                                           ,Grass,2016-06-27
2016,1067,Katowice                                                                                            ,Hard,2016-04-04
2015,W-WET-CHN-01A-2015,Zhuhai                                                                                              ,Hard,2015-11-02
2012,D010,Fed Cup WG PO: ESP vs SVK                                                                           ,Clay,2012-04-21
2019,M020,Brisbane                                                                                            ,Hard,2018-12-31
2013,D004,Fed Cup WG R1: SRB vs SVK                                                                           ,Hard,2013-02-09
2017,W-FC-2017-G1-EPA-D-M-SRB-ISR-01,Fed Cup G1 RR: SRB vs ISR                                                                           ,Hard,2017-02-10
2013,D119,Fed Cup G2 PO: TUN vs LTU                                                                           ,Clay,2013-04-20
2013,W-INT-GER-01A-2013,Nuremberg                                                                                           ,Clay,2013-06-10
2013,D110,Fed Cup G2 RRA: LAT vs TUN                                                                          ,Clay,2013-04-19
2011,W-INT-KOR-01A-2011,Seoul                                                                                               ,Hard,2011-09-19
2012,D157,Fed Cup G2 RRB: TUR vs NOR                                                                          ,Clay,2012-04-19
2010,D128,Fed Cup G3 PO: TUR vs ALG                                                                           ,Clay,2010-04-24
2010,W-PR-USA-05A-2010,New Haven                                                                                           ,Hard,2010-08-23
2012,W-PM-USA-01A-2012,Indian Wells                                                                                        ,Hard,2012-03-05
2013,W-INT-MEX-01A-2013,Acapulco                                                                                            ,Clay,2013-02-25
2017,W-FC-2017-G2-AM-B-M-GUA-DOM-01,Fed Cup G2 RR: GUA vs DOM                                                                           ,Clay,2017-07-21
2010,D006,Fed Cup WG2 R1: POL vs BEL                                                                          ,Hard,2010-02-06
2019,W-FC-2019-G2-EPA-B-M-LUX-POR-01,Fed Cup G2 RR: LUX vs POR                                                                           ,Hard,2019-02-07
2016,W-FC-2016-G2-EPA-B-M-LIE-AUT-01,Fed Cup G2 RR: LIE vs AUT                                                                           ,Clay,2016-04-14
2016,W-FC-2016-G1-AM-REL-BOL-PER-01,Fed Cup G1 REL: BOL vs PER                                                                          ,Clay,2016-02-06
2012,D031,Fed Cup G1 RRC: NED vs POR                                                                          ,Hard,2012-02-03
2014,D027,Fed Cup G1 RR: BEL vs LUX                                                                           ,Hard,2014-02-04
2013,D029,Fed Cup G1 RRB: BRA vs MEX                                                                          ,Clay,2013-02-07
2010,D031,Fed Cup G1 RRB: THA vs KAZ                                                                          ,Hard,2010-02-04
2017,540,Wimbledon                                                                                           ,Grass,2017-07-03
2010,W-PM-USA-02A-2010,Miami                                                                                               ,Hard,2010-03-22
2019,W-FC-2019-G1-AO-B-M-CHN-INA-01,Fed Cup G1 RR: CHN vs INA                                                                           ,Hard,2019-02-08
2018,1075,Wuhan                                                                                               ,Hard,2018-09-24
2019,M006,Indian Wells                                                                                        ,Hard,2019-03-04
2015,W-INT-MAS-01A-2015,Kuala Lumpur                                                                                        ,Hard,2015-03-02
2015,D002,Fed Cup WG R1: CAN vs CZE                                                                           ,Hard,2015-02-07
2010,W-PR-USA-04A-2010,Cincinnati                                                                                          ,Hard,2010-08-09
2017,W-FC-2017-G2-AM-B-M-DOM-BAR-01,Fed Cup G2 RR: DOM vs BAR                                                                           ,Clay,2017-07-19
2016,W-FC-2016-G2-AO-A-M-PHI-HKG-01,Fed Cup G2 RR: PHI vs HKG                                                                           ,Hard,2016-04-14
2018,M021,Madrid                                                                                              ,Clay,2018-05-07
2011,D034,Fed Cup G1 RRC: CRO vs GRE                                                                          ,Hard,2011-02-02
2010,W-INT-CZE-01A-2010,Prague                                                                                              ,Clay,2010-07-12
2017,M015,Beijing                                                                                             ,Hard,2017-10-02
2015,D012,Fed Cup G1 PO: JPN vs KAZ                                                                           ,Hard,2015-02-07
2010,D108,Fed Cup G2 RRB: GUA vs PAN                                                                          ,Clay,2010-04-19
